Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022
Start Time,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:01,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00
Sample Temp (C),23.5,23.5,23.6,23.6,23.6,23.7,23.7,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.9,23.8,23.9,23.9,23.9,23.9,23.9,23.9,23.9
Sample Pressure (kPa),81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.1,81.1,81.1,81.2
Relative Humidity (%),41.3,41.3,41.3,41.3,41.3,41.4,41.4,41.4,41.4,41.4,41.5,41.5,41.5,41.5,41.6,41.6,41.7,41.7,41.7,41.8,41.8,41.9,41.9,41.9,42.0
Mean Free Path (m),8.41395e-008,8.41395e-008,8.41756e-008,8.41756e-008,8.41756e-008,8.42116e-008,8.42116e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42837e-008,8.42477e-008,8.42837e-008,8.42837e-008,8.42837e-008,8.43877e-008,8.43877e-008,8.43877e-008,8.42837e-008
Gas Viscosity (Pa*s),1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005
Diameter Midpoint (nm)
 85.1,0.031,0.016,0.008,0.004,0.002,0.000,3.199,2.917,2.600,2.280,2.113,1.954,1.723,1.589,1.503,1.351,1.246,1.173,1.089,1.023,0.913,0.872,0.827,0.757,0.721
 88.2,0.035,0.017,0.008,0.004,0.002,0.390,3.728,3.340,3.007,2.749,2.486,2.282,2.075,1.947,1.764,1.618,1.489,1.394,1.298,1.238,1.135,1.055,1.020,0.924,0.885
 91.4,0.039,0.021,0.010,0.005,0.003,1.151,4.225,3.849,3.523,3.191,2.876,2.673,2.439,2.267,2.116,1.901,1.775,1.644,1.517,1.491,1.359,1.282,1.206,1.096,1.062
 94.7,0.047,0.024,0.011,0.006,0.003,2.089,4.855,4.458,4.068,3.691,3.420,3.149,2.860,2.668,2.499,2.265,2.101,1.971,1.834,1.763,1.602,1.515,1.441,1.347,1.294
 98.2,0.057,0.028,0.014,0.007,0.004,3.021,5.656,5.095,4.718,4.267,3.969,3.651,3.365,3.146,2.907,2.701,2.563,2.313,2.169,2.114,1.924,1.808,1.748,1.641,1.534
101.8,0.062,0.030,0.016,0.009,0.003,4.136,6.499,5.860,5.453,5.001,4.538,4.212,3.973,3.711,3.420,3.180,3.012,2.721,2.564,2.489,2.286,2.185,2.093,1.978,1.846
105.5,0.078,0.038,0.017,0.009,0.004,5.335,7.426,6.703,6.239,5.789,5.327,4.989,4.626,4.326,3.973,3.735,3.570,3.271,3.031,2.929,2.779,2.652,2.484,2.321,2.172
109.4,0.086,0.041,0.022,0.012,0.006,6.586,8.447,7.752,7.174,6.744,6.206,5.722,5.365,5.036,4.675,4.439,4.145,3.880,3.611,3.456,3.281,3.116,2.969,2.774,2.603
113.4,0.103,0.050,0.025,0.011,0.006,8.177,9.586,8.897,8.219,7.693,7.064,6.702,6.237,5.834,5.426,5.142,4.889,4.609,4.220,4.099,3.844,3.702,3.484,3.263,3.140
117.6,0.119,0.058,0.029,0.012,0.008,10.521,10.955,10.063,9.380,8.882,8.258,7.768,7.142,6.799,6.411,6.077,5.584,5.371,4.958,4.761,4.562,4.303,4.098,3.854,3.642
121.9,0.133,0.069,0.032,0.014,0.007,12.967,12.257,11.326,10.710,10.142,9.384,8.841,8.290,7.754,7.385,6.885,6.502,6.161,5.807,5.561,5.312,5.029,4.784,4.505,4.297
126.3,0.149,0.073,0.037,0.019,0.008,15.062,13.842,12.818,12.133,11.434,10.669,9.964,9.506,8.881,8.409,8.011,7.603,7.201,6.818,6.417,6.224,5.856,5.527,5.243,5.090
131.0,0.167,0.085,0.039,0.021,0.009,16.494,15.356,14.483,13.418,12.877,12.138,11.421,10.704,10.173,9.727,9.196,8.621,8.280,7.812,7.414,7.176,6.770,6.407,6.164,5.881
135.8,0.199,0.094,0.047,0.022,0.012,17.884,17.052,16.208,15.212,14.227,13.558,12.908,12.201,11.600,10.950,10.458,9.938,9.395,8.976,8.458,8.231,7.760,7.469,7.106,6.772
140.7,0.230,0.105,0.055,0.025,0.013,19.512,18.860,17.779,16.830,15.868,15.188,14.461,13.646,12.922,12.353,11.763,11.224,10.423,10.135,9.619,9.324,8.880,8.423,8.181,7.746
145.9,0.251,0.120,0.055,0.028,0.012,21.238,20.591,19.490,18.456,17.811,16.674,16.088,15.199,14.520,13.707,13.236,12.584,11.963,11.467,10.885,10.571,10.076,9.556,9.257,8.801
151.2,0.276,0.126,0.067,0.030,0.016,22.912,22.475,21.436,20.520,19.498,18.439,17.730,16.818,16.040,15.279,14.664,14.119,13.497,12.817,12.230,11.861,11.227,10.760,10.356,9.925
