Mean Free Path (m),8.38657e-008,8.39016e-008,8.39376e-008,8.40407e-008,8.40767e-008,8.40767e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41846e-008,8.42881e-008,8.42881e-008,8.41846e-008,8.42881e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.42206e-008,8.43241e-008
Gas Viscosity (Pa*s),1.83531e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005
Diameter Midpoint (nm)
269.0,0.021,0.005,0.006,0.003,0.001,0.599,1.280,0.961,0.567,0.433,0.230,0.162,0.080,0.046,0.028,0.032,0.012,0.011,0.001,0.005,0.003,0.002,0.003,0.003,0.002,0.004,0.000
278.8,0.014,0.014,0.004,0.006,0.005,0.613,1.294,0.974,0.616,0.352,0.224,0.161,0.085,0.057,0.035,0.021,0.020,0.018,0.001,0.006,0.009,0.001,0.002,0.002,0.003,0.002,0.000
289.0,0.025,0.004,0.007,0.004,0.001,0.539,1.287,0.926,0.592,0.368,0.251,0.146,0.084,0.071,0.034,0.026,0.020,0.013,0.009,0.008,0.001,0.004,0.001,0.000,0.006,0.002,0.002
299.6,0.013,0.012,0.003,0.001,0.001,0.542,1.234,0.941,0.554,0.382,0.249,0.169,0.086,0.056,0.039,0.027,0.019,0.009,0.018,0.001,0.005,0.007,0.001,0.001,0.000,0.003,0.000
310.6,0.013,0.009,0.008,0.002,0.002,0.525,1.273,0.968,0.608,0.380,0.242,0.128,0.082,0.052,0.034,0.016,0.015,0.008,0.009,0.006,0.003,0.000,0.003,0.003,0.001,0.002,0.001
322.0,0.010,0.010,0.003,0.000,0.002,0.555,1.151,0.826,0.615,0.407,0.254,0.186,0.097,0.067,0.051,0.025,0.009,0.008,0.007,0.003,0.005,0.007,0.000,0.003,0.001,0.002,0.003
333.8,0.015,0.006,0.008,0.002,0.002,0.564,1.190,0.919,0.558,0.309,0.264,0.137,0.077,0.042,0.035,0.027,0.011,0.006,0.008,0.004,0.002,0.002,0.000,0.002,0.002,0.000,0.000
346.0,0.015,0.004,0.002,0.000,0.000,0.454,1.157,0.889,0.519,0.331,0.236,0.149,0.091,0.041,0.024,0.016,0.009,0.009,0.009,0.010,0.002,0.002,0.000,0.000,0.000,0.000,0.002
358.7,0.011,0.005,0.000,0.002,0.000,0.444,1.074,0.921,0.550,0.293,0.172,0.137,0.074,0.058,0.022,0.016,0.011,0.010,0.002,0.004,0.002,0.002,0.002,0.002,0.000,0.002,0.000
371.8,0.002,0.008,0.006,0.000,0.000,0.396,0.946,0.828,0.537,0.345,0.173,0.098,0.079,0.035,0.022,0.025,0.020,0.014,0.008,0.003,0.002,0.003,0.003,0.000,0.000,0.000,0.003
385.4,0.006,0.000,0.000,0.003,0.000,0.365,0.882,0.741,0.426,0.226,0.205,0.136,0.078,0.027,0.036,0.022,0.019,0.009,0.013,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000
399.5,0.004,0.004,0.000,0.004,0.000,0.331,0.839,0.695,0.515,0.314,0.154,0.115,0.079,0.017,0.017,0.007,0.007,0.014,0.004,0.000,0.000,0.000,0.004,0.000,0.000,0.004,0.004
